Proteome Id	Organism	Organism Id	Protein count	BUSCO	CPD	Taxonomic lineage	Taxon mnemonic	Components	Genome assembly ID	Genome representation	interpro_IPR013902_count
UP000027265	Jaapia argillacea MUCL 33604	933084	16341	C:99.5%[S:98.7%,D:0.8%],F:0.2%,M:0.3%,n:2898	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricomycetidae, Jaapiales, Jaapiaceae, Jaapia, Jaapia argillacea	9AGAM	Unassembled WGS sequence	GCA_000697665.1	full	0
UP000027586	Lichtheimia corymbifera JMRC:FSU:9682	1263082	13257	C:91.0%[S:84.6%,D:6.4%],F:0.5%,M:8.5%,n:2449	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Fungi incertae sedis, Mucoromycota, Mucoromycotina, Mucoromycetes, Mucorales, Lichtheimiaceae, Lichtheimia, Lichtheimia corymbifera	9FUNG	Unassembled WGS sequence	GCA_000723665.1	full	0
UP000027730	Aureobasidium namibiae CBS 147.97	1043004	10258	C:98.5%[S:98.3%,D:0.1%],F:1.1%,M:0.4%,n:3786	Close to standard (low value)	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, dothideomyceta, Dothideomycetes, Dothideomycetidae, Dothideales, Saccotheciaceae, Aureobasidium, Aureobasidium namibiae	9PEZI	Unassembled WGS sequence	GCA_000721765.1	full	0
UP000028045	Stachybotrys chartarum (strain CBS 109288 / IBT 7711) (Toxic black mold) (Stilbospora chartarum)	1280523	11510	C:98.0%[S:97.7%,D:0.3%],F:0.3%,M:1.7%,n:4494	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, sordariomyceta, Sordariomycetes, Hypocreomycetidae, Hypocreales, Stachybotryaceae, Stachybotrys, Stachybotrys chartarum	STACB	Unassembled WGS sequence	GCA_000730325.1	full	0
UP000028524	Stachybotrys chlorohalonatus (strain IBT 40285)	1283841	10676	C:97.6%[S:97.3%,D:0.3%],F:0.4%,M:2.0%,n:4494	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, sordariomyceta, Sordariomycetes, Hypocreomycetidae, Hypocreales, Stachybotryaceae, Stachybotrys, Stachybotrys chlorohalonatus	STAC4	Unassembled WGS sequence	GCA_000732775.1	full	0
UP000028545	Pseudallescheria apiosperma (Scedosporium apiospermum)	563466	8375	C:81.1%[S:80.7%,D:0.3%],F:0.9%,M:18.0%,n:3817	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, sordariomyceta, Sordariomycetes, Hypocreomycetidae, Microascales, Microascaceae, Scedosporium	PSEDA	Unassembled WGS sequence	GCA_000732125.1	full	0
UP000029665	Pycnoporus cinnabarinus (Cinnabar-red polypore) (Trametes cinnabarina)	5643	10180	C:88.7%[S:88.4%,D:0.2%],F:5.7%,M:5.6%,n:4464	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricomycetes incertae sedis, Polyporales, Polyporaceae, Trametes	PYCCI	Unassembled WGS sequence	GCA_000765035.1	full	0
UP000030641	Aureobasidium subglaciale (strain EXF-2481) (Aureobasidium pullulans var. subglaciale)	1043005	10792	C:98.2%[S:98.2%,D:0.0%],F:1.0%,M:0.9%,n:3786	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, dothideomyceta, Dothideomycetes, Dothideomycetidae, Dothideales, Saccotheciaceae, Aureobasidium, Aureobasidium subglaciale	AURSE	Unassembled WGS sequence	GCA_000721755.1	full	0
UP000030651	Pestalotiopsis fici (strain W106-1 / CGMCC3.15140)	1229662	15412	C:98.4%[S:98.1%,D:0.4%],F:0.4%,M:1.2%,n:3817	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, sordariomyceta, Sordariomycetes, Xylariomycetidae, Amphisphaeriales, Sporocadaceae, Pestalotiopsis, Pestalotiopsis fici	PESFW	Unassembled WGS sequence	GCA_000516985.1	full	0
UP000030653	Dacryopinax primogenitus (strain DJM 731) (Brown rot fungus)	1858805	10233	C:94.8%[S:94.2%,D:0.7%],F:0.9%,M:4.3%,n:1764	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Dacrymycetes, Dacrymycetales, Dacrymycetaceae, Dacryopinax	DACPD	Unassembled WGS sequence	GCA_000292625.1	full	1
UP000030655	Anncaliia algerae PRA339	1288291	3576	C:76.3%[S:74.5%,D:1.8%],F:2.2%,M:21.5%,n:600	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Fungi incertae sedis, Microsporidia, Tubulinosematoidea, Tubulinosematidae, Anncaliia, Anncaliia algerae	9MICR	Unassembled WGS sequence	GCA_000385875.2	full	0
UP000030663	Fusarium oxysporum f. sp. raphani 54005	1089458	22754	C:99.6%[S:68.1%,D:31.6%],F:0.1%,M:0.3%,n:4494	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, sordariomyceta, Sordariomycetes, Hypocreomycetidae, Hypocreales, Nectriaceae, Fusarium, Fusarium oxysporum species complex, Fusarium oxysporum, Fusarium oxysporum f. sp. raphani	FUSOX	Unassembled WGS sequence	GCA_000260235.2	full	0
UP000030669	Gloeophyllum trabeum (strain ATCC 11539 / FP-39264 / Madison 617) (Brown rot fungus)	670483	11735	C:98.6%[S:98.1%,D:0.4%],F:0.8%,M:0.6%,n:2898	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricomycetes incertae sedis, Gloeophyllales, Gloeophyllaceae, Gloeophyllum, Gloeophyllum trabeum	GLOTA	Unassembled WGS sequence	GCA_000344685.1	full	3
UP000030671	Heterobasidion irregulare (strain TC 32-1)	747525	13159	C:97.1%[S:96.5%,D:0.7%],F:1.4%,M:1.5%,n:2898	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricomycetes incertae sedis, Russulales, Bondarzewiaceae, Heterobasidion, Heterobasidion annosum species complex, Heterobasidion irregulare	HETIT	Unassembled WGS sequence	GCA_000320585.2	full	3
UP000030672	Aureobasidium melanogenum (strain CBS 110374) (Aureobasidium pullulans var. melanogenum)	1043003	10583	C:98.3%[S:98.3%,D:0.1%],F:1.1%,M:0.6%,n:3786	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, dothideomyceta, Dothideomycetes, Dothideomycetidae, Dothideales, Saccotheciaceae, Aureobasidium, Aureobasidium melanogenum	AURM1	Unassembled WGS sequence	GCA_000721775.1	full	0
UP000030686	Penicillium roqueforti (strain FM164)	1365484	12315	C:97.6%[S:97.5%,D:0.1%],F:0.8%,M:1.6%,n:4191	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, Eurotiomycetes, Eurotiomycetidae, Eurotiales, Aspergillaceae, Penicillium, Penicillium roqueforti	PENRF	Unassembled WGS sequence	GCA_000513255.1	full	0
UP000030706	Aureobasidium pullulans EXF-150	1043002	11844	C:99.0%[S:98.9%,D:0.1%],F:0.5%,M:0.5%,n:3786	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, dothideomyceta, Dothideomycetes, Dothideomycetidae, Dothideales, Saccotheciaceae, Aureobasidium, Aureobasidium pullulans	AURPU	Unassembled WGS sequence	GCA_000721785.1	full	0
UP000030752	Cyphellophora europaea (strain CBS 101466) (Phialophora europaea)	1220924	11090	C:95.9%[S:95.5%,D:0.5%],F:1.4%,M:2.7%,n:6265	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, Eurotiomycetes, Chaetothyriomycetidae, Chaetothyriales, Cyphellophoraceae, Cyphellophora, Cyphellophora europaea	CYPE1	Unassembled WGS sequence	GCA_000365145.2	full	0
UP000030755	Rozella allomycis (strain CSF55)	988480	6337	C:62.7%[S:62.5%,D:0.1%],F:6.5%,M:30.9%,n:758	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Fungi incertae sedis, Cryptomycota, Cryptomycota incertae sedis, Rozella, Rozella allomycis	ROZAC	Unassembled WGS sequence	GCA_000442015.1	full	2
UP000030816	Metarhizium album (strain ARSEF 1941)	1081103	8389	C:96.2%[S:96.0%,D:0.2%],F:1.8%,M:2.0%,n:4494	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, sordariomyceta, Sordariomycetes, Hypocreomycetidae, Hypocreales, Clavicipitaceae, Metarhizium, Metarhizium album	METAS	Unassembled WGS sequence	GCA_000804445.1	full	0
UP000030854	Uncinula necator (Grape powdery mildew)	52586	6482	C:88.7%[S:88.6%,D:0.1%],F:2.8%,M:8.5%,n:3234	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, sordariomyceta, Leotiomycetes, Erysiphales, Erysiphaceae, Erysiphe	UNCNE	Unassembled WGS sequence	GCA_000798715.1	full	0
UP000031192	Metarhizium guizhouense (strain ARSEF 977)	1276136	11727	C:96.4%[S:95.9%,D:0.5%],F:1.0%,M:2.7%,n:4494	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, sordariomyceta, Sordariomycetes, Hypocreomycetidae, Hypocreales, Clavicipitaceae, Metarhizium, Metarhizium guizhouense	METGA	Unassembled WGS sequence	GCA_000814955.1	full	0
UP000031516	Kluyveromyces dobzhanskii CBS 2104	1427455	4952	C:98.0%[S:97.2%,D:0.8%],F:1.0%,M:1.0%,n:2137	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Saccharomycotina, Saccharomycetes, Saccharomycetales, Saccharomycetaceae, Kluyveromyces, Kluyveromyces dobzhanskii	9SACH	Unassembled WGS sequence	GCA_000820885.1	full	0
UP000033483	Thielaviopsis punctulata	72032	5254	C:85.8%[S:84.9%,D:0.9%],F:0.7%,M:13.5%,n:3817	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, sordariomyceta, Sordariomycetes, Hypocreomycetidae, Microascales, Ceratocystidaceae, Thielaviopsis	9PEZI	Unassembled WGS sequence	GCA_000968615.1	full	0
UP000034291	Aspergillus rambellii	308745	7761	C:94.5%[S:94.4%,D:0.1%],F:2.1%,M:3.4%,n:4191	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, Eurotiomycetes, Eurotiomycetidae, Eurotiales, Aspergillaceae, Aspergillus, Aspergillus subgen. Nidulantes	9EURO	Unassembled WGS sequence	GCA_000986645.1	full	0
UP000034841	Ceratocystis fimbriata f. sp. platani	88771	5620	C:71.4%[S:71.2%,D:0.2%],F:7.2%,M:21.4%,n:3817	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, sordariomyceta, Sordariomycetes, Hypocreomycetidae, Microascales, Ceratocystidaceae, Ceratocystis	CERFI	Unassembled WGS sequence	GCA_000978885.1	full	0
UP000034947	Aspergillus ochraceoroseus	138278	7828	C:93.0%[S:92.8%,D:0.2%],F:2.7%,M:4.2%,n:4191	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, Eurotiomycetes, Eurotiomycetidae, Eurotiales, Aspergillaceae, Aspergillus, Aspergillus subgen. Nidulantes	9EURO	Unassembled WGS sequence	GCA_000986665.1	full	0
UP000036947	Tolypocladium ophioglossoides (strain CBS 100239) (Snaketongue truffleclub) (Elaphocordyceps ophioglossoides)	1163406	9303	C:93.3%[S:92.7%,D:0.6%],F:1.4%,M:5.3%,n:4494	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, sordariomyceta, Sordariomycetes, Hypocreomycetidae, Hypocreales, Ophiocordycipitaceae, Tolypocladium, Tolypocladium ophioglossoides	TOLOC	Unassembled WGS sequence	GCA_001189435.1	full	0
UP000037505	Aspergillus nomiae NRRL (strain ATCC 15546 / NRRL 13137 / CBS 260.88 / M93)	1509407	11916	C:95.4%[S:95.0%,D:0.4%],F:2.0%,M:2.6%,n:4191	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, Eurotiomycetes, Eurotiomycetidae, Eurotiales, Aspergillaceae, Aspergillus, Aspergillus subgen. Circumdati, Aspergillus nomiae	ASPN3	Unassembled WGS sequence	GCA_001204775.2	full	0
UP000037751	Malassezia pachydermatis	77020	4201	C:88.1%[S:88.1%,D:0.0%],F:1.3%,M:10.6%,n:1764	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Ustilaginomycotina, Malasseziomycetes, Malasseziales, Malasseziaceae, Malassezia	9BASI	Unassembled WGS sequence	GCA_001278385.1	full	0
UP000037904	Fusarium langsethiae	179993	11939	C:98.1%[S:97.9%,D:0.2%],F:0.4%,M:1.5%,n:4494	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, sordariomyceta, Sordariomycetes, Hypocreomycetidae, Hypocreales, Nectriaceae, Fusarium, Fusarium sambucinum species complex	FUSLA	Unassembled WGS sequence	GCA_001292635.1	full	0
UP000038010	Cyphellophora attinorum	1664694	11848	C:87.1%[S:86.8%,D:0.4%],F:4.7%,M:8.1%,n:6265	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, Eurotiomycetes, Chaetothyriomycetidae, Chaetothyriales, Cyphellophoraceae, Cyphellophora	9EURO	Unassembled WGS sequence	GCA_001299255.1	full	0
UP000044841	Rhizoctonia solani	456999	11878	C:83.7%[S:79.8%,D:3.9%],F:3.5%,M:12.7%,n:2898	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricomycetes incertae sedis, Cantharellales, Ceratobasidiaceae, Rhizoctonia	9AGAM	Unassembled WGS sequence	GCA_001286725.1	full	0
UP000053029	Fonsecaea pedrosoi CBS 271.37	1442368	12525	C:99.3%[S:99.1%,D:0.2%],F:0.3%,M:0.4%,n:6265	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, Eurotiomycetes, Chaetothyriomycetidae, Chaetothyriales, Herpotrichiellaceae, Fonsecaea, Fonsecaea pedrosoi	9EURO	Unassembled WGS sequence	GCA_000835455.1	full	0
UP000053095	Talaromyces pinophilus (Penicillium pinophilum)	128442	10907	C:91.3%[S:90.9%,D:0.4%],F:1.8%,M:6.9%,n:4191	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, Eurotiomycetes, Eurotiomycetidae, Eurotiales, Trichocomaceae, Talaromyces, Talaromyces sect. Talaromyces	TALPI	Unassembled WGS sequence	GCA_000829775.1	full	0
UP000053201	Spizellomyces punctatus (strain DAOM BR117)	645134	9267	C:95.6%[S:92.0%,D:3.7%],F:0.9%,M:3.4%,n:758	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Fungi incertae sedis, Chytridiomycota, Chytridiomycota incertae sedis, Chytridiomycetes, Spizellomycetales, Spizellomycetaceae, Spizellomyces, Spizellomyces punctatus	SPIPD	Unassembled WGS sequence	GCA_000182565.2	full	0
UP000053257	Phlebiopsis gigantea (strain 11061_1 CR5-6) (White-rot fungus) (Peniophora gigantea)	745531	11848	C:94.9%[S:94.5%,D:0.4%],F:3.3%,M:1.9%,n:4464	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricomycetes incertae sedis, Polyporales, Phanerochaetaceae, Phlebiopsis, Phlebiopsis gigantea	PHLG1	Unassembled WGS sequence	GCA_000832265.1	full	0
UP000053259	Verruconis gallopava	253628	10768	C:95.7%[S:84.6%,D:11.1%],F:0.3%,M:3.9%,n:3786	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, dothideomyceta, Dothideomycetes, Pleosporomycetidae, Venturiales, Sympoventuriaceae, Verruconis	9PEZI	Unassembled WGS sequence	GCA_000836295.1	full	0
UP000053263	Plicaturopsis crispa FD-325 SS-3	944288	2710	C:9.5%[S:9.4%,D:0.1%],F:0.4%,M:90.1%,n:2898	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricomycetidae, Amylocorticiales, Amylocorticiaceae, Plicatura, Plicaturopsis crispa	PLICR	Unassembled WGS sequence	GCA_000827205.1	full	0
UP000053328	Exophiala spinifera	91928	12047	C:99.0%[S:98.5%,D:0.5%],F:0.3%,M:0.6%,n:6265	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, Eurotiomycetes, Chaetothyriomycetidae, Chaetothyriales, Herpotrichiellaceae, Exophiala	9EURO	Unassembled WGS sequence	GCA_000836115.1	full	0
UP000053342	Exophiala oligosperma	215243	12793	C:97.0%[S:89.4%,D:7.5%],F:0.4%,M:2.6%,n:6265	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, Eurotiomycetes, Chaetothyriomycetidae, Chaetothyriales, Herpotrichiellaceae, Exophiala	9EURO	Unassembled WGS sequence	GCA_000835515.1	full	0
UP000053392	Cryptococcus deuterogattii Ram5	1296110	6462	C:92.2%[S:92.0%,D:0.1%],F:5.7%,M:2.1%,n:4284	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Tremellomycetes, Tremellales, Cryptococcaceae, Cryptococcus, Cryptococcus gattii species complex, Cryptococcus deuterogattii	9TREE	Unassembled WGS sequence	GCA_000836375.1	full	0
UP000053411	Fonsecaea multimorphosa CBS 102226	1442371	12368	C:99.5%[S:99.3%,D:0.2%],F:0.3%,M:0.3%,n:6265	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, Eurotiomycetes, Chaetothyriomycetidae, Chaetothyriales, Herpotrichiellaceae, Fonsecaea, Fonsecaea multimorphosa	9EURO	Unassembled WGS sequence	GCA_000836435.1	full	0
UP000053424	Hebeloma cylindrosporum	76867	15327	C:97.9%[S:97.0%,D:0.9%],F:1.4%,M:0.7%,n:3870	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricomycetidae, Agaricales, Agaricineae, Hymenogastraceae, Hebeloma	HEBCY	Unassembled WGS sequence	GCA_000827355.1	full	0
UP000053447	Pneumocystis jirovecii (strain RU7) (Human pneumocystis pneumonia agent)	1408657	3746	C:75.7%[S:75.5%,D:0.2%],F:2.3%,M:22.0%,n:1706	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, Taphrinomycotina, Pneumocystomycetes, Pneumocystales, Pneumocystaceae, Pneumocystis, Pneumocystis jirovecii	PNEJ7	Unassembled WGS sequence	GCA_001477535.1	full	0
UP000053477	Schizopora paradoxa	27342	17051	C:98.2%[S:97.1%,D:1.1%],F:0.6%,M:1.2%,n:2898	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricomycetes incertae sedis, Hymenochaetales, Schizoporaceae, Schizopora	9AGAM	Unassembled WGS sequence	GCA_001020605.1	full	0
UP000053558	Coniophora puteana (strain RWD-64-598) (Brown rot fungus)	741705	13735	C:90.2%[S:88.9%,D:1.3%],F:1.4%,M:8.4%,n:4878	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricomycetidae, Boletales, Coniophorineae, Coniophoraceae, Coniophora, Coniophora puteana	CONPW	Unassembled WGS sequence	GCA_000271625.1	full	0
UP000053573	Blastomyces silverae	2060906	8561	C:83.5%[S:83.4%,D:0.1%],F:5.8%,M:10.7%,n:4862	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, Eurotiomycetes, Eurotiomycetidae, Onygenales, Ajellomycetaceae, Blastomyces	9EURO	Unassembled WGS sequence	GCA_001014755.1	full	0
UP000053593	Collybiopsis luxurians FD-317 M1	944289	14588	C:45.4%[S:44.5%,D:0.9%],F:0.6%,M:54.0%,n:3870	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricomycetidae, Agaricales, Marasmiineae, Omphalotaceae, Collybiopsis, Collybiopsis luxurians	9AGAR	Unassembled WGS sequence	GCA_000827265.1	full	4
UP000053611	Cutaneotrichosporon oleaginosum	879819	8317	C:93.7%[S:93.1%,D:0.6%],F:2.7%,M:3.6%,n:4284	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Tremellomycetes, Trichosporonales, Trichosporonaceae, Cutaneotrichosporon	9TREE	Unassembled WGS sequence	GCA_001027345.1	full	1
UP000053617	Rhinocladiella mackenziei CBS 650.93	1442369	11378	C:95.8%[S:95.5%,D:0.2%],F:0.9%,M:3.3%,n:6265	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, Eurotiomycetes, Chaetothyriomycetidae, Chaetothyriales, Herpotrichiellaceae, Rhinocladiella, Rhinocladiella mackenziei	9EURO	Unassembled WGS sequence	GCA_000835555.1	full	0
UP000053647	Paxillus involutus ATCC 200175	664439	11689	C:33.0%[S:31.4%,D:1.6%],F:1.9%,M:65.1%,n:4878	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricomycetidae, Boletales, Paxilineae, Paxillaceae, Paxillus, Paxillus involutus	PAXIN	Unassembled WGS sequence	GCA_000827475.1	full	3
UP000053732	Penicillium camemberti (strain FM 013)	1429867	14391	C:99.3%[S:99.0%,D:0.3%],F:0.2%,M:0.5%,n:4191	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, Eurotiomycetes, Eurotiomycetidae, Eurotiales, Aspergillaceae, Penicillium, Penicillium camembertii	PENC3	Unassembled WGS sequence	GCA_000513335.1	full	0
UP000053758	Pseudozyma antarctica (Yeast) (Candida antarctica)	84753	4672	C:68.9%[S:68.8%,D:0.1%],F:0.6%,M:30.4%,n:1764	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Ustilaginomycotina, Ustilaginomycetes, Ustilaginales, Ustilaginaceae, Moesziomyces	PSEA2	Unassembled WGS sequence	GCA_000747765.1	full	0
UP000053789	Cladophialophora bantiana (strain ATCC 10958 / CBS 173.52 / CDC B-1940 / NIH 8579) (Xylohypha bantiana)	1442370	12756	C:99.0%[S:98.9%,D:0.2%],F:0.4%,M:0.6%,n:6265	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, Eurotiomycetes, Chaetothyriomycetidae, Chaetothyriales, Herpotrichiellaceae, Cladophialophora, Xylohypha bantiana	CLAB1	Unassembled WGS sequence	GCA_000835475.1	full	0
UP000053815	Mucor ambiguus	91626	11311	C:97.7%[S:97.5%,D:0.2%],F:1.1%,M:1.3%,n:2449	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Fungi incertae sedis, Mucoromycota, Mucoromycotina, Mucoromycetes, Mucorales, Mucorineae, Mucoraceae, Mucor	9FUNG	Unassembled WGS sequence	GCA_000950595.1	full	0
UP000053820	Hydnomerulius pinastri MD-312	994086	7783	C:42.3%[S:41.1%,D:1.2%],F:0.6%,M:57.2%,n:4878	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricomycetidae, Boletales, Boletales incertae sedis, Leucogyrophana, Leucogyrophana pinastri	9AGAM	Unassembled WGS sequence	GCA_000827185.1	full	0
UP000053841	Cochliobolus carbonum (strain 26-R-13) (Maize leaf spot fungus) (Bipolaris zeicola)	930089	12851	C:99.4%[S:99.4%,D:0.1%],F:0.1%,M:0.5%,n:6641	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Ascomycota, saccharomyceta, Pezizomycotina, leotiomyceta, dothideomyceta, Dothideomycetes, Pleosporomycetidae, Pleosporales, Pleosporineae, Pleosporaceae, Bipolaris, Cochliobolus carbonum	COCC2	Unassembled WGS sequence	GCA_000523435.1	full	0
UP000053890	Rhodotorula graminis (strain WP1)	578459	7228	C:94.6%[S:94.3%,D:0.3%],F:2.1%,M:3.3%,n:1764	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Pucciniomycotina, Microbotryomycetes, Sporidiobolales, Sporidiobolaceae, Rhodotorula, Rhodotorula graminis	RHOGW	Unassembled WGS sequence	GCA_001329695.1	full	0
UP000053989	Scleroderma citrinum Foug A	1036808	20903	C:96.4%[S:94.8%,D:1.6%],F:2.1%,M:1.6%,n:4878	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricomycetidae, Boletales, Sclerodermatineae, Sclerodermataceae, Scleroderma, Scleroderma citrinum	9AGAM	Unassembled WGS sequence	GCA_000827425.1	full	1
UP000054007	Cylindrobasidium torrendii FP15055 ss-10	1314674	13901	C:97.2%[S:95.6%,D:1.6%],F:0.9%,M:1.9%,n:3870	Unknown	cellular organisms, Eukaryota, Opisthokonta, Fungi, Dikarya, Basidiomycota, Agaricomycotina, Agaricomycetes, Agaricomycetidae, Agaricales, Marasmiineae, Physalacriaceae, Cylindrobasidium, Cylindrobasidium torrendii	9AGAR	Unassembled WGS sequence	GCA_000934385.1	full	2
